Model Name,ROC AUC Train,Accuracy Train,Precision Train,Recall Train,F1 Train,ROC AUC Test,Accuracy Test,Precision Test,Recall Test,F1 Test
Random Forest (Grid Search),0.998022960616477,0.974114441416894,0.963592233009709,0.99002493765586,0.976629766297663,0.928146619735405,0.869565217391304,0.88785046728972,0.88785046728972,0.88785046728972
XGBoost (Grid Search),0.968532123145589,0.91008174386921,0.899761336515513,0.940149625935162,0.919512195121951,0.938342031799976,0.875,0.903846153846154,0.878504672897196,0.890995260663507
Logistic Regression,0.928115147566519,0.861035422343324,0.860240963855422,0.890274314214464,0.875,0.930209976938949,0.864130434782608,0.91,0.850467289719626,0.879227053140097
Logistic Regression (Grid Search),0.924348288438064,0.869209809264305,0.857142857142857,0.912718204488778,0.884057971014493,0.92268479184367,0.858695652173913,0.900990099009901,0.850467289719626,0.875
Random Forest,1,1,1,1,1,0.930756159728122,0.858695652173913,0.900990099009901,0.850467289719626,0.875
"SVC (Vanilla, Forward Selection)",0.952700830506317,0.885558583106267,0.866050808314088,0.935162094763092,0.899280575539568,0.920985556499575,0.858695652173913,0.900990099009901,0.850467289719626,0.875
XGBoost,1,1,1,1,1,0.930574098798398,0.858695652173913,0.900990099009901,0.850467289719626,0.875
"Random Forest (Grid Search, Forward Selection)",0.996225652086001,0.960490463215259,0.951456310679612,0.977556109725686,0.964329643296433,0.922017235101347,0.853260869565217,0.892156862745098,0.850467289719626,0.870813397129187
SVC,0.953472175417313,0.88283378746594,0.862068965517241,0.935162094763092,0.897129186602871,0.922563417890521,0.853260869565217,0.892156862745098,0.850467289719626,0.870813397129187
XGBoost (PCA),0.996457804437854,0.963215258855586,0.958333333333333,0.975062344139651,0.966625463535229,0.917890520694259,0.864130434782608,0.927083333333333,0.831775700934579,0.876847290640394
SVC (Grid Search),0.922393715411172,0.863760217983651,0.855791962174941,0.902743142144638,0.878640776699029,0.924869523000364,0.842391304347826,0.897959183673469,0.822429906542056,0.858536585365854
Decision Tree (Grid Search),0.898841484876398,0.846049046321526,0.851219512195122,0.870324189526185,0.860665844636251,0.864243233402112,0.83695652173913,0.888888888888889,0.822429906542056,0.854368932038835
"XGBoost (Grid Search, Forward Selection)",0.95642275692151,0.886920980926431,0.875,0.925187032418953,0.899393939393939,0.89816725330744,0.826086956521739,0.871287128712871,0.822429906542056,0.846153846153846
SVC (PCA),0.893232384504205,0.866485013623978,0.848275862068965,0.920199501246883,0.882775119617225,0.914431363029494,0.842391304347826,0.90625,0.813084112149533,0.857142857142857
"Decision Tree (Grid Search, Forward Selection)",0.901114331288895,0.856948228882834,0.841013824884793,0.910224438902743,0.874251497005988,0.901262289112756,0.831521739130435,0.887755102040816,0.813084112149533,0.848780487804878
"Logistic Regression (Vanilla, Forward Selection)",0.919791362434754,0.862397820163488,0.857142857142857,0.897755610972569,0.876979293544458,0.920985556499575,0.831521739130435,0.895833333333333,0.803738317757009,0.847290640394089
Random Forest (PCA),1,1,1,1,1,0.927175628110208,0.842391304347826,0.923913043478261,0.794392523364486,0.85427135678392
Logistic Regression (PCA),0.918866497420113,0.865122615803815,0.861244019138756,0.897755610972569,0.879120879120879,0.916494720233038,0.831521739130435,0.904255319148936,0.794392523364486,0.845771144278607
"SVC (PCA, Grid Search)",0.898055162394314,0.866485013623978,0.853146853146853,0.912718204488778,0.881927710843373,0.908484039325161,0.826086956521739,0.894736842105263,0.794392523364486,0.841584158415841
Decision Tree (PCA),1,1,1,1,1,0.860055832018449,0.847826086956522,0.943820224719101,0.785046728971963,0.857142857142857
"XGBoost (PCA, Grid Search)",0.933383508196476,0.869209809264305,0.858823529411765,0.910224438902743,0.883777239709443,0.920621434640126,0.826086956521739,0.903225806451613,0.785046728971963,0.84
"Logistic Regression (PCA, Grid Search)",0.91822246186336,0.866485013623978,0.859857482185273,0.902743142144638,0.880778588807786,0.918315329530283,0.815217391304348,0.884210526315789,0.785046728971963,0.831683168316832
"Random Forest (PCA, Grid Search)",0.926183040896258,0.869209809264305,0.858823529411765,0.910224438902743,0.883777239709443,0.931787838329894,0.815217391304348,0.884210526315789,0.785046728971963,0.831683168316832
"Decision Tree (PCA, Grid Search)",0.913332284903357,0.869209809264305,0.882205513784461,0.877805486284289,0.88,0.907816482582838,0.842391304347826,0.943181818181818,0.775700934579439,0.851282051282051
Decision Tree,1,1,1,1,1,0.799550916373346,0.788043478260869,0.886363636363636,0.728971962616822,0.8
